age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
113,1,134.7483,0.04574,6.1634,103.931,110.095,116.258,122.422,128.585,134.748,140.912,147.075,153.238,159.402,9,0
114,1,135.1829,0.04582,6.1941,104.212,110.407,116.601,122.795,128.989,135.183,141.377,147.571,153.765,159.959,9,0
115,1,135.6168,0.04589,6.2235,104.5,110.723,116.946,123.17,129.393,135.617,141.84,148.064,154.287,160.511,9,0
116,1,136.0501,0.04597,6.2542,104.779,111.033,117.287,123.542,129.796,136.05,142.304,148.559,154.813,161.067,9,0
117,1,136.4829,0.04604,6.2837,105.065,111.348,117.632,123.916,130.199,136.483,142.767,149.05,155.334,161.618,9,0
118,1,136.9153,0.04612,6.3145,105.343,111.657,117.972,124.286,130.601,136.915,143.23,149.544,155.859,162.173,9,0
119,1,137.3474,0.04619,6.3441,105.627,111.971,118.315,124.659,131.003,137.347,143.691,150.036,156.38,162.724,9,0
120,1,137.7795,0.04626,6.3737,105.911,112.285,118.658,125.032,131.406,137.78,144.153,150.527,156.901,163.274,10,0
121,1,138.2119,0.04633,6.4034,106.195,112.598,119.002,125.405,131.809,138.212,144.615,151.019,157.422,163.825,10,0
122,1,138.6452,0.0464,6.4331,106.48,112.913,119.346,125.779,132.212,138.645,145.078,151.511,157.945,164.378,10,0
123,1,139.0797,0.04647,6.463,106.765,113.228,119.691,126.154,132.617,139.08,145.543,152.006,158.469,164.932,10,0
124,1,139.5158,0.04654,6.4931,107.05,113.544,120.037,126.53,133.023,139.516,146.009,152.502,158.995,165.488,10,0
125,1,139.954,0.04661,6.5233,107.338,113.861,120.384,126.907,133.431,139.954,146.477,153.001,159.524,166.047,10,0
126,1,140.3948,0.04667,6.5522,107.634,114.186,120.738,127.29,133.843,140.395,146.947,153.499,160.051,166.604,10,0
127,1,140.8387,0.04674,6.5828,107.925,114.507,121.09,127.673,134.256,140.839,147.422,154.004,160.587,167.17,10,0
128,1,141.2859,0.0468,6.6122,108.225,114.837,121.449,128.062,134.674,141.286,147.898,154.51,161.122,167.735,10,0
129,1,141.7368,0.04686,6.6418,108.528,115.17,121.811,128.453,135.095,141.737,148.379,155.02,161.662,168.304,10,0
130,1,142.1916,0.04692,6.6716,108.833,115.505,122.177,128.848,135.52,142.192,148.863,155.535,162.206,168.878,10,0
131,1,142.6501,0.04698,6.7017,109.142,115.843,122.545,129.247,135.948,142.65,149.352,156.054,162.755,169.457,10,0
132,1,143.1126,0.04703,6.7306,109.46,116.19,122.921,129.651,136.382,143.113,149.843,156.574,163.304,170.035,11,0
133,1,143.5795,0.04709,6.7612,109.774,116.535,123.296,130.057,136.818,143.58,150.341,157.102,163.863,170.624,11,0
134,1,144.0511,0.04714,6.7906,110.098,116.889,123.679,130.47,137.261,144.051,150.842,157.632,164.423,171.213,11,0
135,1,144.5276,0.04719,6.8203,110.426,117.247,124.067,130.887,137.707,144.528,151.348,158.168,164.988,171.809,11,0
136,1,145.0093,0.04723,6.8488,110.765,117.614,124.463,131.312,138.161,145.009,151.858,158.707,165.556,172.404,11,0
137,1,145.4964,0.04728,6.8791,111.101,117.98,124.859,131.738,138.617,145.496,152.375,159.255,166.134,173.013,11,0
138,1,145.9891,0.04732,6.9082,111.448,118.356,125.264,132.173,139.081,145.989,152.897,159.806,166.714,173.622,11,0
139,1,146.4878,0.04736,6.9377,111.799,118.737,125.675,132.612,139.55,146.488,153.425,160.363,167.301,174.238,11,0
140,1,146.9927,0.0474,6.9675,112.155,119.123,126.09,133.058,140.025,146.993,153.96,160.928,167.895,174.863,11,0
141,1,147.5041,0.04744,6.9976,112.516,119.514,126.511,133.509,140.507,147.504,154.502,161.499,168.497,175.494,11,0
142,1,148.0224,0.04747,7.0266,112.889,119.916,126.943,133.969,140.996,148.022,155.049,162.076,169.102,176.129,11,0
143,1,148.5478,0.0475,7.056,113.268,120.324,127.38,134.436,141.492,148.548,155.604,162.66,169.716,176.772,11,0
144,1,149.0807,0.04753,7.0858,113.652,120.737,127.823,134.909,141.995,149.081,156.167,163.252,170.338,177.424,12,0
